,TractCode,NAME_2015,Workers - Commute Method_2015,Work From Home_2015,Proportion Work From Home_2015,Workers - Commute Length_2015,Median Commute Length_2015,NAME_2017,Workers - Commute Method_2017,Work From Home_2017,Proportion Work From Home_2017,Workers - Commute Length_2017,Median Commute Length_2017,NAME_2019,Workers - Commute Method_2019,Work From Home_2019,Proportion Work From Home_2019,Workers - Commute Length_2019,Median Commute Length_2019
889,47059091300,"Census Tract 913, Greene County, Tennessee",1768,5,0.28,1763,32.1,"Census Tract 913, Greene County, Tennessee",1686,28,1.66,1658,33.32,"Census Tract 913, Greene County, Tennessee",1709,22,1.29,1687,31.85
890,47059091200,"Census Tract 912, Greene County, Tennessee",1292,7,0.54,1285,32.78,"Census Tract 912, Greene County, Tennessee",1587,15,0.95,1572,29.66,"Census Tract 912, Greene County, Tennessee",1558,13,0.83,1545,33.07
891,47059091400,"Census Tract 914, Greene County, Tennessee",1162,36,3.1,1126,33.22,"Census Tract 914, Greene County, Tennessee",1132,58,5.12,1074,30.69,"Census Tract 914, Greene County, Tennessee",1207,86,7.13,1121,30.72
892,47059091500,"Census Tract 915, Greene County, Tennessee",1314,14,1.07,1300,32.68,"Census Tract 915, Greene County, Tennessee",1259,72,5.72,1187,35.57,"Census Tract 915, Greene County, Tennessee",1299,90,6.93,1209,38.02
893,47059090600,"Census Tract 906, Greene County, Tennessee",1655,61,3.69,1594,27.96,"Census Tract 906, Greene County, Tennessee",1476,69,4.67,1407,26.63,"Census Tract 906, Greene County, Tennessee",1619,123,7.6,1496,27.31
894,47059090100,"Census Tract 901, Greene County, Tennessee",1917,3,0.16,1914,17.98,"Census Tract 901, Greene County, Tennessee",1951,34,1.74,1917,18.46,"Census Tract 901, Greene County, Tennessee",1759,31,1.76,1728,22.15
895,47083120200,"Census Tract 1202, Houston County, Tennessee",724,7,0.97,717,32.72,"Census Tract 1202, Houston County, Tennessee",790,26,3.29,764,40.49,"Census Tract 1202, Houston County, Tennessee",836,25,2.99,811,38.58
896,47083120100,"Census Tract 1201, Houston County, Tennessee",1275,13,1.02,1262,47.16,"Census Tract 1201, Houston County, Tennessee",1352,52,3.85,1300,44.11,"Census Tract 1201, Houston County, Tennessee",1268,51,4.02,1217,41.02
897,47083120300,"Census Tract 1203, Houston County, Tennessee",894,19,2.13,875,41.68,"Census Tract 1203, Houston County, Tennessee",768,15,1.95,753,43.14,"Census Tract 1203, Houston County, Tennessee",828,13,1.57,815,46.07
898,47157020512,"Census Tract 205.12, Shelby County, Tennessee",2275,35,1.54,2240,21.84,"Census Tract 205.12, Shelby County, Tennessee",2178,72,3.31,2106,23.07,"Census Tract 205.12, Shelby County, Tennessee",2238,77,3.44,2161,23.35
899,47157021351,"Census Tract 213.51, Shelby County, Tennessee",1807,78,4.32,1729,24.98,"Census Tract 213.51, Shelby County, Tennessee",1970,85,4.31,1885,23.05,"Census Tract 213.51, Shelby County, Tennessee",2090,170,8.13,1920,27.57
900,47157020642,"Census Tract 206.42, Shelby County, Tennessee",4818,100,2.08,4718,30.03,"Census Tract 206.42, Shelby County, Tennessee",5305,132,2.49,5173,31.67,"Census Tract 206.42, Shelby County, Tennessee",5073,95,1.87,4978,33.94
901,47157021540,"Census Tract 215.40, Shelby County, Tennessee",5916,250,4.23,5666,31.85,"Census Tract 215.40, Shelby County, Tennessee",5972,214,3.58,5758,32.56,"Census Tract 215.40, Shelby County, Tennessee",6042,225,3.72,5817,31.06
