,LATITUDE,LONGITUDE,TractCode,geometry,GEOID10,NAME10,UATYP10,ALAND10
987,35.997141,-86.486232,47149040403,POINT (-86.486232 35.997141),,Rural Area,R,
988,35.996838000000004,-86.407549,47149040501,POINT (-86.407549 35.996838),,Rural Area,R,
989,35.937785,-86.293821,47149040502,POINT (-86.29382099999999 35.937785),,Rural Area,R,
990,35.794969,-86.26520699999999,47149040600,POINT (-86.26520699999999 35.794969),,Rural Area,R,
991,35.73608,-86.4409,47149040701,POINT (-86.4409 35.73608),,Rural Area,R,
992,35.723433,-86.376,47149040702,POINT (-86.376 35.723433),,Rural Area,R,
993,35.972125,-86.593715,47149040805,POINT (-86.593715 35.972125),,Rural Area,R,
995,35.891306,-86.529428,47149040807,POINT (-86.529428 35.891306),,Rural Area,R,
996,35.845413,-86.512237,47149040808,POINT (-86.512237 35.845413),,Rural Area,R,
997,35.776593,-86.514946,47149040809,POINT (-86.51494599999999 35.776593),,Rural Area,R,
998,35.739713,-86.619502,47149040810,POINT (-86.619502 35.739713),,Rural Area,R,
1004,35.926922,-86.414466,47149041000,POINT (-86.414466 35.926922),,Rural Area,R,
1006,35.868096,-86.316616,47149041102,POINT (-86.316616 35.868096),,Rural Area,R,
1007,35.781634999999994,-86.38244300000001,47149041201,POINT (-86.38244300000001 35.78163499999999),,Rural Area,R,
1023,36.522045,-84.45326,47151975000,POINT (-84.45326 36.522045),,Rural Area,R,
1024,36.506996,-84.541203,47151975100,POINT (-84.541203 36.506996),,Rural Area,R,
1025,36.426734,-84.511321,47151975200,POINT (-84.511321 36.426734),,Rural Area,R,
1026,36.368646999999996,-84.39412800000001,47151975300,POINT (-84.39412800000001 36.368647),,Rural Area,R,
1027,36.350858,-84.594032,47151975400,POINT (-84.594032 36.350858),,Rural Area,R,
1029,35.44257,-85.458632,47153060102,POINT (-85.45863199999999 35.44257),,Rural Area,R,
1030,35.288591,-85.341466,47153060200,POINT (-85.341466 35.288591),,Rural Area,R,
1031,36.009489,-83.632102,47155080101,POINT (-83.632102 36.009489),,Rural Area,R,
1032,35.961265000000004,-83.597564,47155080102,POINT (-83.59756400000001 35.961265),,Rural Area,R,
1034,35.902648,-83.697435,47155080202,POINT (-83.697435 35.902648),,Rural Area,R,
1036,35.865007,-83.653036,47155080400,POINT (-83.653036 35.865007),,Rural Area,R,
1037,35.857482,-83.579128,47155080500,POINT (-83.579128 35.857482),,Rural Area,R,
1038,35.888023,-83.545022,47155080601,POINT (-83.545022 35.888023),,Rural Area,R,
1039,35.898775,-83.459471,47155080602,POINT (-83.45947099999999 35.898775),,Rural Area,R,
1040,35.820864,-83.392059,47155080700,POINT (-83.392059 35.820864),,Rural Area,R,
1043,35.777367,-83.630423,47155080901,POINT (-83.63042299999999 35.777367),,Rural Area,R,
1044,35.751853000000004,-83.596816,47155080902,POINT (-83.596816 35.751853),,Rural Area,R,
1045,35.797990999999996,-83.537191,47155081000,POINT (-83.53719100000001 35.797991),,Rural Area,R,
1046,35.711329,-83.513913,47155081101,POINT (-83.513913 35.711329),,Rural Area,R,
