,TractCode,CountBlocks,Consumer Blocks Served Any Pro,Consumer Blocks Served Any Pro 25mbps,Prop Served By Any,Prop Served By Any 25mbps
197,47037010601,43,43,43.0,100.0,100.0
198,47037010602,27,27,25.0,100.0,92.59
199,47037010701,50,50,50.0,100.0,100.0
200,47037010702,28,27,24.0,96.43,85.71
201,47037010801,48,48,48.0,100.0,100.0
202,47037010802,52,52,52.0,100.0,100.0
203,47037010901,37,36,36.0,97.3,97.3
204,47037010903,30,29,29.0,96.67,96.67
205,47037010904,33,32,32.0,96.97,96.97
206,47037011001,53,53,52.0,100.0,98.11
207,47037011002,38,38,37.0,100.0,97.37
208,47037011100,61,61,60.0,100.0,98.36
209,47037011200,67,66,66.0,98.51,98.51
210,47037011300,91,81,79.0,89.01,86.81
211,47037011400,76,75,74.0,98.68,97.37
212,47037011500,76,76,76.0,100.0,100.0
213,47037011600,60,60,60.0,100.0,100.0
214,47037011700,159,157,153.0,98.74,96.23
215,47037011800,90,90,90.0,100.0,100.0
216,47037011900,64,64,62.0,100.0,96.88
217,47037012100,87,87,86.0,100.0,98.85
218,47037012200,110,110,110.0,100.0,100.0
219,47037012600,58,57,57.0,98.28,98.28
220,47037012701,56,48,48.0,85.71,85.71
221,47037012702,75,72,69.0,96.0,92.0
222,47037012801,76,76,76.0,100.0,100.0
223,47037012802,66,64,64.0,96.97,96.97
224,47037013000,25,24,21.0,96.0,84.0
225,47037013100,45,45,45.0,100.0,100.0
226,47037013201,41,41,41.0,100.0,100.0
227,47037013202,49,48,48.0,97.96,97.96
228,47037013300,193,193,186.0,100.0,96.37
229,47037013400,236,231,231.0,97.88,97.88
230,47037013500,78,78,77.0,100.0,98.72
231,47037013601,101,101,96.0,100.0,95.05
232,47037013602,18,17,16.0,94.44,88.89
233,47037013700,176,154,147.0,87.5,83.52
234,47037013800,46,46,45.0,100.0,97.83
235,47037013900,64,63,62.0,98.44,96.88
236,47037014200,80,80,61.0,100.0,76.25
237,47037014300,88,88,87.0,100.0,98.86
238,47037014400,102,101,68.0,99.02,66.67
239,47037014800,54,54,49.0,100.0,90.74
240,47037015100,75,59,51.0,78.67,68.0
241,47037015200,34,34,33.0,100.0,97.06
242,47037015300,79,73,69.0,92.41,87.34
243,47037015401,66,66,65.0,100.0,98.48
244,47037015402,44,44,44.0,100.0,100.0
245,47037015404,34,29,29.0,85.29,85.29
246,47037015405,35,35,34.0,100.0,97.14
247,47037015501,30,30,30.0,100.0,100.0
248,47037015502,59,58,58.0,98.31,98.31
249,47037015609,21,19,17.0,90.48,80.95
250,47037015610,52,45,44.0,86.54,84.62
251,47037015612,36,36,35.0,100.0,97.22
252,47037015613,51,44,42.0,86.27,82.35
253,47037015614,14,14,14.0,100.0,100.0
254,47037015615,29,29,29.0,100.0,100.0
255,47037015617,25,25,25.0,100.0,100.0
256,47037015618,49,49,49.0,100.0,100.0
257,47037015619,28,28,28.0,100.0,100.0
258,47037015620,36,36,36.0,100.0,100.0
259,47037015622,25,25,25.0,100.0,100.0
260,47037015623,40,39,39.0,97.5,97.5
261,47037015624,21,18,18.0,85.71,85.71
262,47037015625,27,27,27.0,100.0,100.0
263,47037015626,26,26,26.0,100.0,100.0
264,47037015627,21,20,18.0,95.24,85.71
265,47037015628,11,11,8.0,100.0,72.73
266,47037015629,31,30,26.0,96.77,83.87
267,47037015630,30,30,30.0,100.0,100.0
268,47037015631,60,60,59.0,100.0,98.33
269,47037015700,30,30,30.0,100.0,100.0
270,47037015802,46,46,42.0,100.0,91.3
271,47037015803,6,6,5.0,100.0,83.33
272,47037015804,21,21,21.0,100.0,100.0
273,47037015900,91,62,27.0,68.13,29.67
274,47037016000,82,79,65.0,96.34,79.27
275,47037016100,94,90,79.0,95.74,84.04
276,47037016200,93,93,82.0,100.0,88.17
277,47037016300,69,69,68.0,100.0,98.55
278,47037016400,54,52,49.0,96.3,90.74
279,47037016500,55,55,29.0,100.0,52.73
280,47037016600,65,63,52.0,96.92,80.0
281,47037016700,85,85,85.0,100.0,100.0
282,47037016800,95,94,92.0,98.95,96.84
283,47037016900,125,125,125.0,100.0,100.0
284,47037017000,102,101,100.0,99.02,98.04
285,47037017100,52,50,49.0,96.15,94.23
286,47037017200,143,89,88.0,62.24,61.54
