,TractCode,Less_HS_Proportion_2015,HS_Proportion_2015,Some_College_Proportion_2015,Bachelors_Proportion_2015,Less_HS_Proportion_2017,HS_Proportion_2017,Some_College_Proportion_2017,Bachelors_Proportion_2017,Less_HS_Proportion_2019,HS_Proportion_2019,Some_College_Proportion_2019,Bachelors_Proportion_2019
774,47109930100,26.84,41.66,19.22,12.28,23.97,37.89,23.6,14.53,16.9,40.24,25.26,17.6
775,47109930500,21.16,40.58,25.93,12.32,20.52,42.06,24.09,13.32,18.24,45.23,23.19,13.34
776,47109930200,22.55,46.52,21.44,9.49,23.6,48.37,20.99,7.04,18.19,48.91,24.13,8.77
777,47109930700,19.86,43.69,24.48,11.97,18.71,41.89,25.62,13.77,20.04,41.17,25.25,13.54
778,47109930300,18.35,48.03,24.23,9.39,18.86,47.89,27.41,5.84,14.77,48.58,27.71,8.95
779,47109930400,17.53,51.78,17.13,13.57,16.15,48.38,18.28,17.18,18.94,46.1,21.3,13.65
780,47109930600,15.5,46.28,28.92,9.29,15.25,49.45,24.12,11.17,14.54,50.19,25.42,9.84
781,47009011602,9.16,43.51,27.79,19.54,10.1,43.22,29.06,17.62,12.6,33.99,31.84,21.57
782,47031970802,9.82,36.22,28.85,25.12,8.6,34.34,31.59,25.47,7.87,33.01,29.41,29.72
783,47075930301,24.51,40.57,16.71,18.21,19.13,39.01,23.12,18.75,15.86,39.94,25.62,18.58
784,47075930302,17.11,41.3,27.48,14.12,18.04,46.29,25.26,10.41,19.87,51.91,23.06,5.16
785,47039955001,21.79,35.67,21.79,20.75,18.46,40.36,24.78,16.4,14.55,42.5,24.02,18.94
786,47039955101,20.42,43.43,25.24,10.91,14.7,43.45,26.14,15.71,12.51,46.29,25.51,15.69
787,47001980100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
788,47117955400,16.81,43.6,26.61,12.98,12.02,46.15,30.16,11.67,11.05,37.89,31.04,20.02
789,47001020202,12.39,22.02,21.08,44.51,11.95,22.5,20.99,44.56,9.03,16.4,26.55,48.03
790,47001020201,3.25,13.95,17.33,65.47,2.45,11.37,17.31,68.87,2.74,9.69,19.1,68.48
791,47065011100,4.63,11.1,23.85,60.41,3.99,8.27,20.54,67.2,1.28,5.68,20.3,72.74
792,47007953100,25.14,43.61,19.37,11.88,23.57,38.92,22.95,14.56,21.22,37.65,24.52,16.61
793,47007953000,19.82,40.02,29.45,10.71,25.0,40.38,25.67,8.95,31.57,35.61,26.2,6.63
794,47007953200,28.42,43.89,18.38,9.31,32.05,41.97,13.36,12.63,21.83,46.04,20.78,11.34
795,47009010600,14.57,32.07,31.01,22.36,9.47,32.92,25.19,32.43,10.98,26.57,28.07,34.39
796,47009010700,11.93,31.31,31.44,25.32,9.11,34.67,30.99,25.23,5.95,34.3,34.83,24.93
797,47009010200,11.28,37.72,27.13,23.87,9.51,40.88,23.78,25.83,8.13,36.02,23.55,32.3
798,47009010100,23.6,30.08,36.88,9.44,22.14,32.26,36.22,9.38,13.81,49.31,29.5,7.37
799,47009011102,6.48,25.32,27.4,40.8,3.61,26.81,27.45,42.13,5.54,29.5,25.46,39.51
800,47009010500,13.44,32.82,30.35,23.39,14.99,26.19,36.52,22.3,11.46,25.17,43.0,20.38
801,47009011200,19.46,29.78,31.01,19.75,16.37,22.15,37.83,23.64,11.94,26.97,35.82,25.28
802,47009010400,17.91,39.92,23.28,18.88,14.57,41.22,26.03,18.18,12.13,38.31,31.76,17.79
803,47009011101,8.92,32.69,33.01,25.39,11.18,35.96,24.92,27.94,8.45,37.03,30.75,23.76
