,TractCode,Substantially Served,Substantially Served 25mbps
122,47021070103,2,2
123,47021070104,2,2
124,47021070201,2,2
125,47021070202,2,2
126,47021070203,2,1
127,47021070300,2,2
128,47021070401,2,2
129,47021070402,2,2
130,47023970100,2,0
131,47023970200,2,2
132,47023970300,2,1
133,47025970100,4,2
134,47025970200,3,1
135,47025970300,3,1
136,47025970400,2,1
137,47025970500,3,1
138,47025970600,4,2
139,47025970700,2,1
140,47025970800,4,2
141,47025970900,3,2
142,47027955000,2,1
143,47027955100,3,2
144,47029920100,2,1
145,47029920200,4,2
146,47029920300,1,1
147,47029920400,2,0
148,47029920501,3,2
149,47029920502,2,1
150,47029920600,3,2
151,47029920700,3,2
152,47029980100,1,0
153,47031970100,2,2
154,47031970200,2,2
155,47031970300,1,1
156,47031970400,2,1
157,47031970500,3,3
158,47031970600,2,1
159,47031970700,3,3
160,47031970801,4,3
161,47031970802,3,3
162,47031970900,4,3
163,47031971000,4,4
164,47031980100,2,2
165,47033961000,3,1
166,47033961100,2,2
167,47033961200,2,1
168,47033961300,1,1
169,47033961400,2,1
170,47035970101,3,1
171,47035970102,3,1
172,47035970200,2,1
173,47035970301,2,0
174,47035970302,2,1
175,47035970400,3,3
176,47035970501,3,1
177,47035970502,3,3
178,47035970601,4,2
179,47035970602,2,2
180,47035970603,2,1
181,47035970701,2,2
182,47035970702,2,1
183,47035970800,2,0
184,47037010103,2,2
185,47037010104,2,2
186,47037010105,2,2
187,47037010106,2,2
188,47037010201,2,2
189,47037010202,2,2
190,47037010301,2,2
191,47037010302,2,2
192,47037010303,2,2
193,47037010401,2,2
194,47037010402,2,2
195,47037010501,2,2
196,47037010502,2,2
197,47037010601,2,2
198,47037010602,2,2
199,47037010701,2,2
200,47037010702,2,1
201,47037010801,2,2
202,47037010802,2,2
203,47037010901,2,2
204,47037010903,2,2
205,47037010904,2,2
206,47037011001,2,2
207,47037011002,2,2
208,47037011100,2,2
209,47037011200,2,2
210,47037011300,2,2
211,47037011400,2,2
212,47037011500,2,2
213,47037011600,2,2
214,47037011700,3,3
215,47037011800,2,2
216,47037011900,2,2
217,47037012100,3,3
218,47037012200,3,3
219,47037012600,2,2
220,47037012701,2,2
221,47037012702,2,2
222,47037012801,2,2
223,47037012802,2,2
224,47037013000,1,1
225,47037013100,2,2
226,47037013201,3,3
227,47037013202,3,3
228,47037013300,2,2
229,47037013400,3,3
230,47037013500,3,3
231,47037013601,2,2
232,47037013602,2,1
233,47037013700,2,2
234,47037013800,2,2
235,47037013900,3,3
236,47037014200,2,1
237,47037014300,2,2
238,47037014400,2,2
239,47037014800,2,1
240,47037015100,2,2
241,47037015200,2,2
242,47037015300,2,2
243,47037015401,2,2
244,47037015402,2,2
245,47037015404,2,2
246,47037015405,2,2
247,47037015501,2,2
248,47037015502,2,2
249,47037015609,2,2
250,47037015610,2,2
251,47037015612,2,2
252,47037015613,2,2
253,47037015614,2,2
254,47037015615,2,2
255,47037015617,2,2
256,47037015618,2,2
257,47037015619,3,3
258,47037015620,2,2
259,47037015622,2,2
260,47037015623,2,2
261,47037015624,2,2
262,47037015625,2,2
263,47037015626,2,2
264,47037015627,2,2
265,47037015628,2,2
266,47037015629,3,3
267,47037015630,3,3
268,47037015631,2,2
269,47037015700,2,2
270,47037015802,2,2
271,47037015803,2,1
272,47037015804,2,2
273,47037015900,1,0
274,47037016000,2,2
275,47037016100,2,2
276,47037016200,2,2
