,ProviderName,TractCode,CountBlocks,Consumer Blocks Served,Consumer Blocks Served - 3mbps,Consumer Blocks Served - 12mbps,Consumer Blocks Served - 25mbps,Proportion Served,Proportion Served 3mbps,Proportion Served 12mbps,Proportion Served 25mbps,Substantially Served,Substantially Served 3mbps,Substantially Served 12mbps,Substantially Served 25mbps,TechCodes Set,Minimally Residential,Water Area,Consumer Service N/A
34,"Charter Communications, Inc.",47113001605,106,106,106,106,106,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
35,Jackson Energy Authority,47113001402,126,44,44,44,44,34.92,34.92,34.92,34.92,True,True,True,True,{50},False,False,False
36,"BellSouth Telecommunications, Inc.",47113001402,126,75,64,25,0,59.52,50.79,19.84,0.0,True,True,False,False,"{10, 11}",False,False,False
37,"Aeneas Communications, LLC",47113001402,126,1,1,1,1,0.79,0.79,0.79,0.79,False,False,False,False,{50},False,False,False
38,"Charter Communications, Inc.",47113001402,126,124,124,124,124,98.41,98.41,98.41,98.41,True,True,True,True,{43},False,False,False
39,Jackson Energy Authority,47113001603,37,21,21,21,21,56.76,56.76,56.76,56.76,True,True,True,True,{50},False,False,False
40,"Wisper II, LLC",47113001603,37,1,1,0,0,2.7,2.7,0.0,0.0,False,False,False,False,{70},False,False,False
41,"BellSouth Telecommunications, Inc.",47113001603,37,23,23,22,15,62.16,62.16,59.46,40.54,True,True,True,True,"{10, 11, 50}",False,False,False
42,"Aeneas Communications, LLC",47113001603,37,4,4,4,4,10.81,10.81,10.81,10.81,False,False,False,False,"{50, 11}",False,False,False
43,"Charter Communications, Inc.",47113001603,37,36,36,36,36,97.3,97.3,97.3,97.3,True,True,True,True,{43},False,False,False
44,Jackson Energy Authority,47113001501,137,56,56,56,56,40.88,40.88,40.88,40.88,True,True,True,True,{50},False,False,False
45,"BellSouth Telecommunications, Inc.",47113001501,137,93,93,56,37,67.88,67.88,40.88,27.01,True,True,True,False,"{10, 11, 50}",False,False,False
46,"Aeneas Communications, LLC",47113001501,137,3,3,3,3,2.19,2.19,2.19,2.19,False,False,False,False,{50},False,False,False
47,"Charter Communications, Inc.",47113001501,137,135,135,135,135,98.54,98.54,98.54,98.54,True,True,True,True,{43},False,False,False
48,Jackson Energy Authority,47113001607,90,51,51,51,51,56.67,56.67,56.67,56.67,True,True,True,True,{50},False,False,False
49,"BellSouth Telecommunications, Inc.",47113001607,90,58,57,48,42,64.44,63.33,53.33,46.67,True,True,True,True,"{10, 11, 50}",False,False,False
50,"Aeneas Communications, LLC",47113001607,90,8,8,8,8,8.89,8.89,8.89,8.89,False,False,False,False,"{50, 30}",False,False,False
51,"Charter Communications, Inc.",47113001607,90,89,89,89,89,98.89,98.89,98.89,98.89,True,True,True,True,{43},False,False,False
52,Jackson Energy Authority,47113001606,143,83,83,83,83,58.04,58.04,58.04,58.04,True,True,True,True,{50},False,False,False
53,"BellSouth Telecommunications, Inc.",47113001606,143,90,90,63,58,62.94,62.94,44.06,40.56,True,True,True,True,"{10, 11, 50}",False,False,False
54,"Aeneas Communications, LLC",47113001606,143,15,15,15,15,10.49,10.49,10.49,10.49,False,False,False,False,"{50, 42}",False,False,False
55,"Charter Communications, Inc.",47113001606,143,140,140,140,140,97.9,97.9,97.9,97.9,True,True,True,True,{43},False,False,False
56,Jackson Energy Authority,47113000200,202,73,73,73,73,36.14,36.14,36.14,36.14,True,True,True,True,{50},False,False,False
57,"BellSouth Telecommunications, Inc.",47113000200,202,102,98,63,24,50.5,48.51,31.19,11.88,True,True,True,False,"{10, 11, 50}",False,False,False
58,"Aeneas Communications, LLC",47113000200,202,19,15,12,12,9.41,7.43,5.94,5.94,False,False,False,False,"{50, 11}",False,False,False
59,"Charter Communications, Inc.",47113000200,202,202,202,202,202,100.0,100.0,100.0,100.0,True,True,True,True,{43},False,False,False
