,TractCode,CountBlocks,Blocks With Choice,Blocks With Choice 3mbps,Blocks With Choice 12mbps,Blocks With Choice 25mbps,Prop With Choice,Prop With Choice 25mbps
92,47013951100,150,105.0,95.0,70.0,61.0,70.0,40.67
93,47015960100,274,270.0,270.0,26.0,26.0,98.54,9.49
94,47015960200,293,290.0,290.0,31.0,31.0,98.98,10.58
95,47015960300,151,149.0,149.0,4.0,3.0,98.68,1.99
96,47017962000,301,203.0,193.0,137.0,105.0,67.44,34.88
97,47017962100,379,233.0,209.0,108.0,55.0,61.48,14.51
98,47017962201,174,129.0,125.0,96.0,17.0,74.14,9.77
99,47017962202,155,100.0,95.0,61.0,23.0,64.52,14.84
100,47017962300,250,159.0,159.0,104.0,103.0,63.6,41.2
101,47017962400,93,29.0,22.0,0.0,0.0,31.18,0.0
102,47017962500,153,52.0,45.0,0.0,0.0,33.99,0.0
103,47017980100,11,7.0,7.0,0.0,0.0,63.64,0.0
104,47019070100,109,96.0,96.0,70.0,47.0,88.07,43.12
105,47019070200,155,111.0,103.0,50.0,41.0,71.61,26.45
106,47019070300,192,153.0,152.0,113.0,83.0,79.69,43.23
107,47019070400,58,47.0,42.0,6.0,2.0,81.03,3.45
108,47019070500,111,86.0,84.0,46.0,37.0,77.48,33.33
109,47019070600,50,43.0,38.0,22.0,19.0,86.0,38.0
110,47019070700,64,37.0,33.0,16.0,12.0,57.81,18.75
111,47019070800,115,83.0,79.0,61.0,55.0,72.17,47.83
112,47019070900,106,70.0,67.0,47.0,36.0,66.04,33.96
113,47019071000,112,86.0,86.0,63.0,54.0,76.79,48.21
114,47019071100,89,47.0,44.0,34.0,29.0,52.81,32.58
115,47019071200,204,131.0,117.0,49.0,33.0,64.22,16.18
116,47019071300,232,191.0,187.0,145.0,95.0,82.33,40.95
117,47019071400,125,109.0,103.0,70.0,29.0,87.2,23.2
118,47019071500,85,27.0,20.0,7.0,5.0,31.76,5.88
119,47019071600,128,36.0,34.0,17.0,6.0,28.12,4.69
120,47019071700,193,125.0,113.0,76.0,56.0,64.77,29.02
121,47021070102,86,52.0,48.0,40.0,28.0,60.47,32.56
122,47021070103,69,47.0,47.0,46.0,42.0,68.12,60.87
123,47021070104,79,48.0,48.0,40.0,23.0,60.76,29.11
124,47021070201,108,74.0,71.0,60.0,31.0,68.52,28.7
125,47021070202,150,62.0,59.0,52.0,46.0,41.33,30.67
126,47021070203,114,41.0,35.0,28.0,22.0,35.96,19.3
127,47021070300,99,85.0,85.0,80.0,69.0,85.86,69.7
128,47021070401,66,49.0,45.0,36.0,33.0,74.24,50.0
129,47021070402,118,95.0,92.0,80.0,74.0,80.51,62.71
130,47023970100,183,53.0,45.0,5.0,2.0,28.96,1.09
131,47023970200,164,128.0,127.0,120.0,93.0,78.05,56.71
132,47023970300,295,112.0,96.0,30.0,23.0,37.97,7.8
133,47025970100,79,48.0,27.0,23.0,21.0,60.76,26.58
134,47025970200,131,99.0,86.0,60.0,35.0,75.57,26.72
135,47025970300,123,85.0,56.0,29.0,26.0,69.11,21.14
136,47025970400,67,10.0,0.0,0.0,0.0,14.93,0.0
137,47025970500,137,69.0,35.0,6.0,2.0,50.36,1.46
138,47025970600,175,120.0,90.0,75.0,59.0,68.57,33.71
139,47025970700,239,201.0,190.0,126.0,95.0,84.1,39.75
